Order Number,Delivery Distance (miles),Order Size,Order Type,Total Dollars,Store Location,Delivered On Time,Test Phase,Predicted Delivered On Time
2702,8.759182066886591,9,Phone,73.94,Store B,No,Pre-Test,No
2703,0.7397314130746199,8,Phone,31.44,Store C,No,Pre-Test,No
2704,4.8536638279521185,7,Phone,69.26,Store A,No,Pre-Test,No
2705,1.1406108980535754,1,Phone,53.6,Store C,Yes,Pre-Test,Yes
2706,9.703819815343104,1,In-person,24.39,Store B,Yes,Pre-Test,No
2707,9.737032930140053,8,In-person,56.7,Store C,No,Pre-Test,Yes
2708,6.303273948682863,7,In-person,87.31,Store A,Yes,Pre-Test,No
2709,4.225946652823569,2,In-person,12.22,Store B,No,Pre-Test,Yes
2710,5.363931126848504,9,Phone,86.61,Store A,Yes,Pre-Test,Yes
2711,7.7418435445782,7,In-person,71.66,Store B,No,Pre-Test,Yes
2712,2.6203331173417452,9,Online,75.31,Store A,Yes,Pre-Test,No
2713,4.6963636665608295,1,Phone,90.34,Store A,Yes,Pre-Test,Yes
2714,7.5040525574043055,3,Phone,94.93,Store B,No,Pre-Test,Yes
2715,4.256228539452709,2,Online,36.56,Store C,No,Pre-Test,No
2716,0.8039669598806161,6,In-person,92.72,Store B,No,Pre-Test,No
2717,5.3202469810236375,4,Online,29.49,Store A,No,Pre-Test,Yes
2718,7.505406044125693,2,In-person,22.99,Store B,Yes,Pre-Test,No
2719,9.779755887253321,2,Online,59.94,Store B,Yes,Pre-Test,Yes
2720,0.8519384553748318,6,Phone,93.49,Store C,No,Pre-Test,Yes
2721,5.629245720434283,9,In-person,14.89,Store A,No,Pre-Test,Yes
2722,4.7744172903200965,6,In-person,57.52,Store B,Yes,Pre-Test,No
2723,2.8032634982639295,4,In-person,71.07,Store C,No,Pre-Test,Yes
2724,6.558745840448758,9,Phone,77.09,Store C,Yes,Pre-Test,Yes
2725,2.05441368212993,2,In-person,55.35,Store A,No,Pre-Test,No
2726,3.1967152894911015,6,Online,61.74,Store A,Yes,Pre-Test,No
2727,7.926695206663681,7,In-person,50.83,Store C,No,Pre-Test,No
2728,4.873911530242772,3,In-person,75.09,Store A,Yes,Pre-Test,Yes
2729,9.939871145738906,4,Phone,44.13,Store A,No,Pre-Test,Yes
2730,4.171377069413543,7,Online,35.24,Store A,Yes,Pre-Test,Yes
2731,4.900980127952055,9,Online,33.65,Store C,Yes,Pre-Test,Yes
2732,3.3524487398410736,5,Online,68.8,Store B,No,Pre-Test,No
2733,2.7447892588149316,2,In-person,93.21,Store B,Yes,Pre-Test,Yes
2734,9.261673406350763,8,In-person,34.63,Store A,Yes,Pre-Test,Yes
2735,7.613853081222945,9,Phone,32.49,Store C,No,Pre-Test,No
2736,3.667324055913427,2,Phone,74.41,Store A,Yes,Pre-Test,No
2737,7.1514819016343845,1,In-person,10.82,Store B,Yes,Pre-Test,Yes
2738,9.674945629147325,4,Online,85.08,Store C,Yes,Pre-Test,Yes
2739,1.2034556733321822,1,Online,44.14,Store B,No,Pre-Test,Yes
2740,3.0127918415231636,1,In-person,91.15,Store B,No,Pre-Test,No
2741,2.405496217352513,5,Online,73.77,Store B,Yes,Pre-Test,Yes
2742,8.762940054621897,7,Online,81.35,Store C,No,Pre-Test,Yes
2743,2.2023081307394023,3,In-person,25.41,Store C,Yes,Pre-Test,Yes
2744,3.4267219619018086,7,Phone,42.78,Store B,No,Pre-Test,No
2745,5.666677346598755,5,In-person,35.25,Store C,No,Pre-Test,Yes
2746,6.400396378076022,8,Phone,74.36,Store A,Yes,Pre-Test,No
2747,8.177745744060232,7,Online,12.05,Store C,No,Pre-Test,No
2748,4.369570842262085,1,Phone,65.73,Store C,Yes,Pre-Test,No
2749,5.575324865211981,1,Phone,88.13,Store B,No,Pre-Test,No
2750,9.67188971291995,7,In-person,13.93,Store A,No,Pre-Test,Yes
2751,3.3249364981123595,6,Online,36.16,Store A,Yes,Pre-Test,Yes
2752,2.8568950060705856,9,Online,28.72,Store C,Yes,Pre-Test,Yes
2753,7.25069231774664,8,Online,99.83,Store A,Yes,Pre-Test,Yes
2754,7.825794576404482,6,Phone,98.71,Store C,Yes,Pre-Test,Yes
2755,4.4403995802129295,6,Phone,21.19,Store B,Yes,Pre-Test,Yes
2756,2.523299723107961,9,In-person,27.53,Store A,No,Pre-Test,No
2757,7.899765230208227,4,Online,12.07,Store A,Yes,Pre-Test,Yes
2758,6.869682505150862,9,Online,60.96,Store A,Yes,Pre-Test,No
2759,8.824164112162274,8,Phone,71.73,Store A,No,Pre-Test,No
2760,8.521101411107653,3,Phone,68.91,Store A,No,Pre-Test,No
2761,2.449354252790217,4,Phone,33.4,Store B,Yes,Pre-Test,Yes
2762,8.407222210842463,7,Online,28.3,Store C,No,Pre-Test,Yes
2763,2.1641505406295853,3,Online,15.02,Store C,Yes,Pre-Test,Yes
2764,8.705187085890103,3,In-person,66.94,Store B,No,Pre-Test,Yes
2765,7.818048873310444,8,In-person,32.1,Store B,Yes,Pre-Test,Yes
2766,5.913680205682786,5,Online,17.98,Store B,Yes,Pre-Test,No
2767,6.601105920199239,5,In-person,41.91,Store C,No,Pre-Test,No
2768,1.488753073310203,8,Phone,23.36,Store B,No,Pre-Test,No
2769,0.8789092241201542,6,In-person,55.56,Store A,No,Pre-Test,No
2770,3.641144046472132,5,Phone,23.42,Store C,No,Pre-Test,No
2771,8.303355208463305,1,In-person,98.97,Store B,Yes,Pre-Test,Yes
2772,4.92496294520974,5,Online,40.2,Store A,No,Pre-Test,No
2773,2.6222432855054656,8,Phone,52.74,Store C,Yes,Pre-Test,No
2774,8.428214549190749,9,In-person,63.7,Store A,No,Pre-Test,Yes
2775,2.6719589571652427,6,Online,86.56,Store B,Yes,Pre-Test,No
2776,8.247190370788948,3,Phone,95.32,Store B,Yes,Pre-Test,No
2777,4.803305543722408,8,Phone,43.03,Store A,Yes,Pre-Test,No
2778,4.903201429039178,5,Online,48.12,Store B,Yes,Pre-Test,Yes
2779,3.0908362936533007,2,Online,23.59,Store A,Yes,Pre-Test,No
2780,9.051653198543848,1,Phone,27.07,Store B,No,Pre-Test,Yes
2781,1.3434601190942739,8,Online,75.0,Store C,Yes,Pre-Test,No
2782,1.8718598623834828,2,In-person,49.17,Store B,No,Pre-Test,No
2783,6.5409052983389735,3,In-person,85.8,Store C,Yes,Pre-Test,No
2784,8.576095024685308,9,Phone,57.62,Store C,Yes,Pre-Test,Yes
2785,1.406786876759662,1,Phone,35.44,Store A,Yes,Pre-Test,Yes
2786,7.4706463694577785,8,In-person,71.14,Store B,No,Pre-Test,Yes
2787,7.55385956482512,2,Online,52.55,Store A,Yes,Pre-Test,No
2788,6.024465936566818,8,Online,90.12,Store B,No,Pre-Test,Yes
2789,5.1239164576117995,2,Phone,43.47,Store C,Yes,Pre-Test,Yes
2790,3.550333713421578,7,Online,32.92,Store B,Yes,Pre-Test,No
2791,3.838887028110332,3,Phone,49.55,Store A,Yes,Pre-Test,No
2792,6.907117987946973,4,Online,86.41,Store A,Yes,Pre-Test,Yes
2793,1.1202292665321478,1,Online,84.2,Store C,Yes,Pre-Test,Yes
2794,6.056882381673943,1,Online,90.41,Store C,No,Pre-Test,Yes
2795,3.1479558283020475,8,In-person,86.47,Store A,No,Pre-Test,No
2796,4.932756163467454,8,Phone,39.71,Store C,Yes,Pre-Test,No
2797,5.810306375276886,2,Online,63.3,Store C,Yes,Pre-Test,Yes
2798,8.913763764526147,4,Online,81.52,Store A,No,Pre-Test,No
2799,6.0012114391573705,2,In-person,85.52,Store A,Yes,Pre-Test,Yes
2800,2.6580159305706808,8,In-person,46.16,Store A,Yes,Pre-Test,No
2801,1.2548648051375817,7,In-person,56.22,Store A,Yes,Pre-Test,No
2802,6.45638979611423,7,Phone,36.16,Store A,Yes,Pre-Test,Yes
2803,5.677959765335822,3,In-person,72.81,Store C,No,Pre-Test,No
2804,6.882080017472589,5,In-person,70.47,Store B,No,Pre-Test,Yes
2805,4.864267501804702,1,Online,63.14,Store B,No,Pre-Test,No
2806,8.338695549663765,4,Online,66.46,Store B,No,Pre-Test,No
2807,9.241706981267015,4,In-person,90.88,Store C,Yes,Pre-Test,No
2808,0.8800420111244575,1,Online,83.8,Store A,No,Pre-Test,No
2809,7.568822093549649,7,Online,21.23,Store C,Yes,Pre-Test,No
2810,0.8340251750950005,5,In-person,67.85,Store A,No,Pre-Test,Yes
2811,4.728418525289174,1,In-person,24.54,Store C,Yes,Pre-Test,No
2812,4.88523055932754,5,In-person,23.36,Store C,Yes,Pre-Test,No
2813,7.114074776487787,8,In-person,50.43,Store C,No,Pre-Test,No
2814,3.847831332908996,8,In-person,53.7,Store B,Yes,Pre-Test,Yes
2815,8.298562714023078,2,Online,19.37,Store C,Yes,Pre-Test,Yes
2816,3.757208550485693,1,Phone,56.06,Store C,Yes,Pre-Test,Yes
2817,3.7539199392441307,2,Online,25.88,Store C,No,Pre-Test,No
2818,2.6162263427571464,6,In-person,59.56,Store C,No,Pre-Test,Yes
2819,6.996755479461805,5,Phone,84.89,Store C,No,Pre-Test,No
2820,1.2275786604620682,4,Phone,17.74,Store C,Yes,Pre-Test,Yes
2821,3.9490233159052917,8,Phone,45.93,Store A,No,Pre-Test,No
2822,3.035462088420846,5,Online,31.03,Store C,No,Pre-Test,Yes
2823,2.6786885334634443,4,In-person,61.72,Store A,No,Pre-Test,No
2824,1.0793415131524418,8,Online,90.42,Store A,Yes,Pre-Test,No
2825,2.3086395993856677,1,Phone,27.75,Store C,Yes,Pre-Test,No
2826,4.739321896887663,9,Online,70.87,Store C,No,Pre-Test,No
2827,5.285543825039888,2,In-person,18.38,Store B,Yes,Pre-Test,Yes
2828,3.060294401003037,8,Online,59.12,Store B,Yes,Pre-Test,No
2829,6.677313330432387,9,Phone,70.85,Store A,Yes,Pre-Test,No
2830,3.6900367077412586,8,Phone,70.38,Store B,Yes,Pre-Test,Yes
2831,3.988835463371391,9,Online,76.44,Store B,Yes,Pre-Test,Yes
2832,7.93493117415052,4,In-person,47.56,Store B,No,Pre-Test,Yes
2833,5.74368385353657,2,In-person,78.4,Store B,No,Pre-Test,Yes
2834,9.555161086343231,3,In-person,52.56,Store B,Yes,Pre-Test,No
2835,3.913361412018813,8,Online,39.06,Store B,No,Pre-Test,No
2836,8.364484711946833,5,Phone,38.98,Store C,Yes,Pre-Test,Yes
2837,7.514206590173767,4,Online,25.81,Store B,No,Pre-Test,No
2838,8.956794810698003,3,Phone,74.85,Store A,No,Pre-Test,No
2839,9.589518042769269,3,Online,24.19,Store B,Yes,Pre-Test,No
2840,0.5729269217297996,7,Phone,67.26,Store B,Yes,Pre-Test,No
2841,1.3388286047414029,8,In-person,69.88,Store B,No,Pre-Test,No
2842,6.906218801661331,5,Online,35.8,Store B,Yes,Pre-Test,No
2843,4.206898667117759,8,In-person,53.98,Store A,No,Pre-Test,Yes
2844,8.281688466556092,9,Online,70.38,Store C,Yes,Pre-Test,No
2845,0.6138083818276769,4,In-person,10.02,Store A,Yes,Pre-Test,No
2846,8.166285328466088,2,Phone,34.73,Store A,Yes,Pre-Test,No
2847,1.7847989838846963,5,Phone,44.17,Store C,No,Pre-Test,No
2848,3.2573659176449654,2,Phone,93.78,Store A,Yes,Pre-Test,Yes
2849,9.70624290247717,2,Phone,51.78,Store A,Yes,Pre-Test,Yes
2850,0.9901820787075972,6,Online,55.63,Store B,Yes,Pre-Test,No
2851,3.8158858183004023,1,Phone,69.77,Store C,No,Pre-Test,Yes
2852,1.3030233686133115,2,In-person,50.63,Store C,Yes,Pre-Test,No
2853,8.609241857126998,5,In-person,48.91,Store A,Yes,Pre-Test,No
2854,7.178653164105519,5,Online,97.69,Store C,No,Pre-Test,No
2855,8.103205184249429,3,Online,83.11,Store C,Yes,Pre-Test,No
2856,5.509155361738741,5,Phone,73.16,Store C,Yes,Pre-Test,Yes
2857,3.898340186878977,9,Online,53.25,Store C,No,Pre-Test,No
2858,0.5215993862486976,2,Phone,41.17,Store C,No,Pre-Test,No
2859,3.140309464407685,6,Online,63.27,Store B,Yes,Pre-Test,Yes
2860,5.388258694278089,8,Phone,50.16,Store A,No,Pre-Test,No
2861,6.811439346522794,3,In-person,51.99,Store C,No,Pre-Test,No
2862,2.674905503858189,2,Phone,29.94,Store A,Yes,Pre-Test,Yes
2863,1.8195580397372755,1,In-person,81.21,Store C,Yes,Pre-Test,Yes
2864,2.4153411892837786,1,In-person,81.2,Store C,No,Pre-Test,Yes
2865,3.86372249106564,4,Online,37.08,Store C,Yes,Pre-Test,Yes
2866,1.9095937664140246,6,In-person,36.02,Store B,No,Pre-Test,No
2867,1.989764677000561,7,Phone,35.02,Store C,No,Pre-Test,Yes
2868,0.9156411500641756,8,Online,24.64,Store B,Yes,Pre-Test,Yes
2869,8.638889346367302,8,Online,87.24,Store B,No,Pre-Test,No
2870,2.587706928577053,1,Phone,33.9,Store B,Yes,Pre-Test,No
2871,8.308073171082228,8,Online,72.88,Store C,Yes,Pre-Test,Yes
2872,4.6639391683037665,1,Phone,18.97,Store A,Yes,Pre-Test,No
2873,6.508159239779287,3,In-person,76.18,Store A,Yes,Pre-Test,Yes
2874,1.2191702935028554,5,Online,23.26,Store B,No,Pre-Test,No
2875,6.044014738411755,8,In-person,24.29,Store B,No,Pre-Test,No
2876,3.2549563301463666,8,Online,84.84,Store A,No,Pre-Test,Yes
2877,1.4044945549363594,6,Phone,36.18,Store A,Yes,Pre-Test,Yes
2878,9.128208713594438,4,Phone,25.51,Store B,Yes,Pre-Test,Yes
2879,6.234466402320163,4,Phone,58.32,Store C,No,Pre-Test,No
2880,2.79622245881818,8,Phone,16.74,Store A,Yes,Pre-Test,Yes
2881,4.486656101862867,3,Online,73.94,Store B,Yes,Pre-Test,No
2882,3.890551273757201,8,In-person,85.72,Store A,Yes,Pre-Test,No
2883,7.1555068256493035,4,In-person,32.36,Store C,No,Pre-Test,No
2884,6.270615172261193,9,Online,72.82,Store C,Yes,Pre-Test,No
2885,0.6879306725879247,2,Online,14.84,Store A,No,Pre-Test,No
2886,2.379356401244398,1,In-person,53.02,Store A,No,Pre-Test,No
2887,5.042215736288185,4,In-person,95.68,Store C,Yes,Pre-Test,No
2888,4.732115026411011,9,Online,58.43,Store C,No,Pre-Test,Yes
2889,5.40841137846354,7,Online,46.97,Store B,No,Pre-Test,No
2890,7.290702916409989,9,Online,10.53,Store A,No,Pre-Test,No
2891,6.979085485733157,9,Online,33.03,Store A,Yes,Pre-Test,No
2892,4.0417275103489185,9,Online,48.56,Store B,No,Pre-Test,Yes
2893,8.837025465416653,9,In-person,43.97,Store A,No,Pre-Test,Yes
2894,1.0978594192609281,7,In-person,49.51,Store B,No,Pre-Test,No
2895,6.052844003561401,8,Phone,12.13,Store C,Yes,Pre-Test,Yes
2896,9.522012179410533,2,Phone,57.81,Store C,Yes,Pre-Test,No
2897,5.716273659340552,9,In-person,32.62,Store C,No,Pre-Test,No
2898,4.823509857722132,2,In-person,46.05,Store B,Yes,Pre-Test,No
2899,1.7722170926160323,8,Phone,89.78,Store B,Yes,Pre-Test,Yes
2900,8.196796405080308,2,Phone,84.53,Store C,Yes,Pre-Test,Yes
2901,4.051051455388665,8,Phone,45.82,Store B,No,Pre-Test,No
2902,7.161836140104536,3,Online,14.87,Store B,Yes,Pre-Test,Yes
2903,2.376695363867042,2,Phone,90.0,Store C,Yes,Pre-Test,Yes
2904,0.8977004278554161,6,Online,45.91,Store C,No,Pre-Test,No
2905,3.401940799016005,6,Online,53.16,Store B,Yes,Pre-Test,No
2906,3.1734316838404633,1,Phone,17.71,Store A,Yes,Pre-Test,No
2907,8.798014908509106,7,In-person,72.33,Store B,Yes,Pre-Test,Yes
2908,8.714400896555162,1,Phone,74.09,Store A,No,Pre-Test,No
2909,5.571995114713116,4,Phone,46.78,Store A,Yes,Pre-Test,Yes
2910,0.6804899829358393,6,Phone,90.0,Store C,Yes,Pre-Test,Yes
2911,2.669084297744522,8,Phone,14.38,Store B,Yes,Pre-Test,Yes
2912,6.570619645027615,8,Phone,37.68,Store B,Yes,Pre-Test,No
2913,1.463379813588492,7,Online,28.62,Store A,No,Pre-Test,No
2914,7.155911514834748,5,Phone,72.81,Store B,Yes,Pre-Test,Yes
2915,0.613641498108063,6,In-person,28.42,Store C,No,Pre-Test,Yes
2916,6.984099366008069,8,In-person,73.25,Store B,Yes,Pre-Test,No
2917,8.523122807164105,3,Online,81.69,Store C,No,Pre-Test,No
2918,4.957568336638104,6,Online,80.49,Store B,Yes,Pre-Test,No
2919,8.376269406045358,4,Phone,12.52,Store C,No,Pre-Test,No
2920,7.924513465816761,3,Phone,93.75,Store A,Yes,Pre-Test,Yes
2921,6.878481926592932,3,Online,74.32,Store B,Yes,Pre-Test,No
2922,4.728918173279419,4,In-person,83.15,Store A,No,Pre-Test,No
2923,3.0830884218141916,6,Phone,68.12,Store A,No,Pre-Test,No
2924,8.678207640604253,1,In-person,57.62,Store B,Yes,Pre-Test,Yes
2925,6.6616086067980085,2,Online,68.02,Store B,Yes,Pre-Test,Yes
2926,8.081159934880475,4,In-person,42.41,Store A,No,Pre-Test,Yes
2927,5.743685813424473,9,In-person,51.2,Store C,No,Pre-Test,No
2928,2.1327311276922845,8,In-person,74.12,Store B,No,Pre-Test,No
2929,9.804660425378595,8,Phone,70.09,Store C,Yes,Pre-Test,Yes
2930,2.2360181388475553,7,Online,63.42,Store C,Yes,Pre-Test,Yes
2931,9.156794259736582,6,Phone,14.43,Store C,No,Pre-Test,No
2932,2.477317137427253,7,In-person,35.9,Store B,Yes,Pre-Test,No
2933,4.050619696591141,6,Phone,64.31,Store B,No,Pre-Test,No
2934,4.6807927231055535,3,Phone,51.73,Store A,Yes,Pre-Test,No
2935,9.253071900517378,6,Phone,40.43,Store B,No,Pre-Test,No
2936,8.937886423674103,7,Online,74.53,Store B,No,Pre-Test,No
2937,8.320599290548142,6,Online,44.83,Store B,Yes,Pre-Test,No
2938,4.078413901209476,2,In-person,91.76,Store A,No,Pre-Test,No
2939,0.5426858448747416,6,Phone,57.85,Store C,No,Pre-Test,Yes
2940,6.975041541021434,2,In-person,53.52,Store B,No,Pre-Test,Yes
2941,4.404061427419436,1,Phone,40.35,Store C,Yes,Pre-Test,No
2942,7.692052831955638,5,In-person,22.08,Store B,Yes,Pre-Test,No
2943,8.051094437793726,4,Online,10.86,Store B,No,Pre-Test,Yes
2944,4.6773723277155295,9,In-person,70.92,Store B,Yes,Pre-Test,Yes
2945,7.6069743705110096,9,Online,15.88,Store B,Yes,Pre-Test,No
2946,8.479404164936936,9,Phone,39.25,Store A,No,Pre-Test,No
2947,9.32052325021425,3,Phone,88.81,Store A,No,Pre-Test,No
2948,6.033325658649246,3,Phone,53.03,Store C,Yes,Pre-Test,Yes
2949,7.895548306068885,3,In-person,89.5,Store B,Yes,Pre-Test,Yes
2950,5.1983662669916475,5,In-person,15.54,Store B,No,Pre-Test,Yes
2951,0.8957985040846397,6,In-person,85.9,Store B,No,Pre-Test,No
2952,1.974603564092242,6,Online,93.83,Store A,Yes,Pre-Test,No
2953,1.7181328377768659,3,Phone,92.23,Store C,Yes,Pre-Test,Yes
2954,2.1317731060970493,2,Phone,40.29,Store C,Yes,Pre-Test,Yes
2955,0.5970211213220108,6,Online,18.56,Store B,Yes,Pre-Test,Yes
2956,8.65771482101895,4,Online,92.36,Store B,Yes,Pre-Test,Yes
2957,5.8214185395156175,9,Phone,24.16,Store B,No,Pre-Test,No
2958,4.139925028607043,2,Phone,59.14,Store B,No,Pre-Test,No
2959,4.392899279981264,4,Online,46.67,Store C,Yes,Pre-Test,Yes
2960,4.901835390329261,2,Online,96.21,Store B,No,Pre-Test,No
2961,1.2018932539861296,5,Phone,47.43,Store A,No,Pre-Test,No
2962,3.1093214100092417,3,Phone,43.33,Store B,Yes,Pre-Test,No
2963,8.590451152374806,4,Online,62.81,Store B,Yes,Pre-Test,No
2964,7.564914744032852,9,Phone,57.5,Store C,No,Pre-Test,No
2965,5.852352613412124,5,Online,50.69,Store B,No,Pre-Test,Yes
2966,5.066687854364648,9,Phone,55.23,Store C,No,Pre-Test,Yes
2967,2.9602452574135443,5,In-person,18.86,Store A,Yes,Pre-Test,Yes
2968,4.976922211647501,9,In-person,94.14,Store B,No,Pre-Test,Yes
2969,6.17962512263474,8,Phone,32.53,Store A,No,Pre-Test,No
2970,7.270060538600015,1,Online,61.31,Store A,Yes,Pre-Test,No
2971,2.083081783647076,3,In-person,13.19,Store A,No,Pre-Test,Yes
2972,8.224547550472385,5,Online,36.61,Store C,No,Pre-Test,Yes
2973,3.785207131821314,3,In-person,71.98,Store B,No,Pre-Test,Yes
2974,5.280951791258376,1,In-person,51.16,Store C,No,Pre-Test,No
2975,6.275091007665159,2,In-person,75.71,Store B,Yes,Pre-Test,Yes
2976,5.136903984099816,2,Phone,23.99,Store C,Yes,Pre-Test,No
2977,5.9335905894641305,4,Phone,98.93,Store B,Yes,Pre-Test,Yes
2978,1.5594729144872765,6,Online,50.12,Store B,Yes,Pre-Test,Yes
2979,4.605476823532034,2,Phone,58.49,Store C,No,Pre-Test,No
2980,3.1644409738941506,6,Online,33.18,Store C,No,Pre-Test,Yes
2981,1.3172484619252667,1,In-person,40.52,Store B,Yes,Pre-Test,Yes
2982,2.3206676435039455,8,Phone,68.91,Store A,Yes,Pre-Test,Yes
2983,6.223223381060855,3,In-person,40.76,Store A,No,Pre-Test,No
2984,2.368520825188778,8,Online,74.67,Store B,Yes,Pre-Test,No
2985,2.220108096131387,3,Phone,35.73,Store A,No,Pre-Test,No
2986,5.751889107673045,1,Phone,78.89,Store B,No,Pre-Test,Yes
2987,9.094673813716359,4,In-person,70.75,Store A,No,Pre-Test,No
2988,7.992582081078383,3,Phone,29.09,Store A,Yes,Pre-Test,No
2989,9.09834654993858,8,Online,14.5,Store A,Yes,Pre-Test,Yes
2990,6.038311921816894,1,Phone,93.72,Store B,Yes,Pre-Test,No
2991,4.394330824356768,9,In-person,31.17,Store A,Yes,Pre-Test,Yes
2992,7.4315929726484615,9,Online,61.95,Store B,No,Pre-Test,No
2993,2.982958267735184,6,Phone,36.81,Store A,Yes,Pre-Test,Yes
2994,1.2415126010513353,5,In-person,69.24,Store B,Yes,Pre-Test,Yes
2995,3.773840530945788,5,In-person,73.11,Store A,Yes,Pre-Test,No
2996,3.3427486261266655,6,In-person,16.69,Store A,Yes,Pre-Test,Yes
2997,6.917619814262851,7,In-person,14.5,Store C,No,Pre-Test,No
2998,5.737945448712236,8,In-person,99.17,Store C,Yes,Pre-Test,Yes
2999,1.8134983485299625,3,Online,79.12,Store B,Yes,Pre-Test,Yes
3000,9.130789707819462,1,In-person,33.54,Store B,Yes,Pre-Test,No
3001,6.136719934795639,5,In-person,54.22,Store B,No,Pre-Test,No
3002,4.84800014152588,1,Phone,96.22,Store B,No,Pre-Test,Yes
3003,9.403351807627208,2,Online,58.95,Store C,No,Pre-Test,No
3004,1.424367563580058,8,In-person,47.74,Store B,Yes,Pre-Test,Yes
3005,8.001132912327318,3,Phone,13.38,Store B,Yes,Pre-Test,No
3006,3.964322304340089,4,Online,62.63,Store A,No,Pre-Test,Yes
3007,7.10620263377773,6,Online,89.35,Store B,Yes,Pre-Test,Yes
3008,9.341891562652947,8,In-person,58.85,Store C,Yes,Pre-Test,No
3009,5.4182742646114646,1,Online,80.36,Store B,No,Pre-Test,No
3010,0.7150688225730998,2,Phone,89.74,Store A,Yes,Pre-Test,No
3011,0.7740581866372105,6,Online,46.66,Store A,Yes,Pre-Test,No
3012,3.640327781311077,8,In-person,47.04,Store B,Yes,Pre-Test,Yes
3013,7.925753084253087,8,In-person,92.92,Store C,No,Pre-Test,No
3014,3.2384827591990364,3,Phone,40.66,Store A,No,Pre-Test,No
3015,3.677451708419068,4,Online,69.54,Store A,No,Pre-Test,No
3016,7.952376775376903,4,Phone,65.79,Store C,No,Pre-Test,No
3017,1.603797152233168,4,Online,53.67,Store A,No,Pre-Test,No
3018,8.544723138647413,2,Online,67.78,Store B,No,Pre-Test,No
3019,3.0250288977640123,6,Online,73.28,Store B,No,Pre-Test,No
3020,0.986619174774628,8,Online,93.23,Store A,Yes,Pre-Test,No
3021,1.614755710835048,9,In-person,82.07,Store C,Yes,Pre-Test,No
3022,9.549271424018825,1,In-person,42.22,Store A,Yes,Pre-Test,Yes
3023,4.78757757291675,1,Phone,48.89,Store C,Yes,Pre-Test,Yes
3024,2.936162006985352,9,Online,91.33,Store A,No,Pre-Test,No
3025,5.452074026702354,4,Phone,34.38,Store B,Yes,Pre-Test,Yes
3026,6.982293207241103,7,Phone,39.24,Store C,No,Pre-Test,No
3027,3.528584876418659,2,In-person,72.02,Store B,No,Pre-Test,No
3028,7.390076430029728,1,Phone,19.97,Store A,No,Pre-Test,No
3029,2.8963944836184194,7,Phone,80.85,Store C,Yes,Pre-Test,No
3030,1.5672037044183853,6,Phone,95.35,Store A,Yes,Pre-Test,Yes
3031,5.722228093506401,3,Online,67.88,Store A,No,Pre-Test,No
3032,1.935627420994238,4,Online,16.5,Store A,No,Pre-Test,No
3033,9.434606347641829,1,Phone,31.47,Store A,No,Pre-Test,No
3034,0.5042657672525823,7,Phone,18.78,Store C,No,Pre-Test,No
3035,7.679112949682192,9,Online,37.82,Store B,No,Pre-Test,No
3036,3.1549954375906535,1,Online,94.56,Store A,Yes,Pre-Test,Yes
3037,8.537825186837486,2,Phone,42.33,Store A,Yes,Pre-Test,Yes
3038,1.0714333955335649,2,Phone,26.59,Store C,Yes,Pre-Test,Yes
3039,9.553505683845929,6,Online,69.54,Store C,Yes,Pre-Test,Yes
3040,1.4632513964136276,5,Online,90.97,Store A,No,Pre-Test,Yes
3041,7.984886172836731,6,Online,13.1,Store B,No,Pre-Test,Yes
3042,5.414751029538242,1,Online,70.16,Store A,No,Pre-Test,Yes
3043,4.588750522837057,6,Phone,36.02,Store C,Yes,Pre-Test,Yes
3044,3.16147996614758,6,Online,43.67,Store A,Yes,Pre-Test,Yes
3045,8.49301058486612,7,Online,31.35,Store C,Yes,Pre-Test,No
3046,2.3976382765630264,2,Online,91.55,Store A,Yes,Pre-Test,Yes
3047,7.351792112432162,6,In-person,89.74,Store B,Yes,Pre-Test,No
3048,4.73502068476606,9,In-person,64.43,Store A,Yes,Pre-Test,Yes
3049,9.985702567899065,9,Online,11.45,Store C,No,Pre-Test,No
3050,6.30829069161284,2,Phone,95.19,Store C,No,Pre-Test,No
3051,1.4898012363257997,5,Online,52.07,Store C,No,Pre-Test,No
3052,4.485451296943996,7,Online,54.0,Store A,Yes,Pre-Test,No
3053,1.1298403136593598,5,Online,79.57,Store C,No,Pre-Test,Yes
3054,3.2137285266965883,3,Online,65.23,Store A,Yes,Pre-Test,Yes
3055,3.7615095513704944,1,In-person,20.93,Store C,Yes,Pre-Test,No
3056,8.605177779226228,7,Online,19.48,Store B,No,Pre-Test,Yes
3057,8.460881027771588,8,Online,32.69,Store C,No,Pre-Test,No
3058,0.6097935898423115,6,In-person,16.35,Store C,No,Pre-Test,Yes
3059,5.5566468425483775,7,Online,84.97,Store A,Yes,Pre-Test,Yes
3060,2.623665678231183,9,Phone,13.55,Store B,No,Pre-Test,No
3061,3.5408844314327794,2,In-person,95.14,Store C,No,Pre-Test,No
3062,0.7056872124925844,5,Online,20.0,Store C,No,Pre-Test,No
3063,7.6225857217304736,3,Phone,87.19,Store C,Yes,Pre-Test,Yes
3064,9.530602869647813,2,Online,31.35,Store A,No,Pre-Test,No
3065,2.583036882981592,3,Online,69.47,Store C,No,Pre-Test,No
3066,3.7468422369544085,4,Phone,40.79,Store B,No,Pre-Test,No
3067,2.46112294993371,2,Phone,16.06,Store B,No,Pre-Test,No
3068,9.335462304594522,2,Phone,75.74,Store B,No,Pre-Test,Yes
